ticker,board
AALI,UTAMA
ABBA,PEMANTAUAN KHUSUS
ABDA,PEMANTAUAN KHUSUS
ABMM,UTAMA
ACES,UTAMA
ACST,PENGEMBANGAN
ADES,PENGEMBANGAN
ADHI,UTAMA
ADMF,PENGEMBANGAN
ADMG,PENGEMBANGAN
ADRO,UTAMA
AGII,PENGEMBANGAN
AGRO,UTAMA
AGRS,PENGEMBANGAN
AHAP,PENGEMBANGAN
AIMS,PENGEMBANGAN
AISA,UTAMA
AKKU,PEMANTAUAN KHUSUS
AKPI,PENGEMBANGAN
AKRA,UTAMA
AKSI,PENGEMBANGAN
ALDO,PENGEMBANGAN
ALKA,PENGEMBANGAN
ALMI,PEMANTAUAN KHUSUS
ALTO,PEMANTAUAN KHUSUS
AMAG,PENGEMBANGAN
AMFG,PENGEMBANGAN
AMIN,PENGEMBANGAN
AMRT,UTAMA
ANJT,PENGEMBANGAN
ANTM,UTAMA
APEX,PENGEMBANGAN
APIC,PENGEMBANGAN
APII,PENGEMBANGAN
APLI,PENGEMBANGAN
APLN,UTAMA
ARGO,PENGEMBANGAN
ARII,PENGEMBANGAN
ARNA,UTAMA
ARTA,PENGEMBANGAN
ARTI,PEMANTAUAN KHUSUS
ARTO,UTAMA
ASBI,PENGEMBANGAN
ASDM,PENGEMBANGAN
ASGR,UTAMA
ASII,UTAMA
ASJT,PENGEMBANGAN
ASMI,PEMANTAUAN KHUSUS
ASRI,UTAMA
ASRM,PENGEMBANGAN
ASSA,UTAMA
ATIC,PENGEMBANGAN
AUTO,UTAMA
BABP,PENGEMBANGAN
BACA,UTAMA
BAJA,PENGEMBANGAN
BALI,UTAMA
BAPA,PENGEMBANGAN
BATA,PEMANTAUAN KHUSUS
BAYU,UTAMA
BBCA,UTAMA
BBHI,UTAMA
BBKP,PENGEMBANGAN
BBLD,PENGEMBANGAN
BBMD,PENGEMBANGAN
BBNI,UTAMA
BBRI,UTAMA
BBRM,PENGEMBANGAN
BBTN,UTAMA
BBYB,UTAMA
BCAP,UTAMA
BCIC,PENGEMBANGAN
BCIP,PENGEMBANGAN
BDMN,UTAMA
BEKS,PEMANTAUAN KHUSUS
BEST,UTAMA
BFIN,UTAMA
BGTG,UTAMA
BHIT,PEMANTAUAN KHUSUS
BIKA,PEMANTAUAN KHUSUS
BIMA,PEMANTAUAN KHUSUS
BINA,UTAMA
BIPI,PENGEMBANGAN
BIPP,PEMANTAUAN KHUSUS
BIRD,UTAMA
BISI,UTAMA
BJBR,UTAMA
BJTM,UTAMA
BKDP,PEMANTAUAN KHUSUS
BKSL,UTAMA
BKSW,PENGEMBANGAN
BLTA,PEMANTAUAN KHUSUS
BLTZ,PEMANTAUAN KHUSUS
BMAS,PENGEMBANGAN
BMRI,UTAMA
BMSR,PENGEMBANGAN
BMTR,UTAMA
BNBA,PENGEMBANGAN
BNBR,PEMANTAUAN KHUSUS
BNGA,UTAMA
BNII,UTAMA
BNLI,UTAMA
BOLT,PENGEMBANGAN
BPFI,PENGEMBANGAN
BPII,PENGEMBANGAN
BRAM,PENGEMBANGAN
BRMS,UTAMA
BRNA,PENGEMBANGAN
BRPT,UTAMA
BSDE,UTAMA
BSIM,UTAMA
BSSR,PENGEMBANGAN
BSWD,PEMANTAUAN KHUSUS
BTEK,PEMANTAUAN KHUSUS
BTEL,PEMANTAUAN KHUSUS
BTON,PENGEMBANGAN
BTPN,UTAMA
BUDI,UTAMA
BUKK,UTAMA
BULL,PENGEMBANGAN
BUMI,UTAMA
BUVA,PENGEMBANGAN
BVIC,UTAMA
BWPT,UTAMA
BYAN,UTAMA
CANI,PEMANTAUAN KHUSUS
CASS,UTAMA
CEKA,PENGEMBANGAN
CENT,PENGEMBANGAN
CFIN,UTAMA
CINT,PENGEMBANGAN
CITA,UTAMA
CLPI,PENGEMBANGAN
CMNP,UTAMA
CMPP,PEMANTAUAN KHUSUS
CNKO,PEMANTAUAN KHUSUS
CNTX,PEMANTAUAN KHUSUS
COWL,PEMANTAUAN KHUSUS
CPIN,UTAMA
CPRO,PENGEMBANGAN
CSAP,PENGEMBANGAN
CTBN,PENGEMBANGAN
CTRA,UTAMA
CTTH,PENGEMBANGAN
DART,PENGEMBANGAN
DEFI,PENGEMBANGAN
DEWA,UTAMA
DGIK,PENGEMBANGAN
DILD,UTAMA
DKFT,PENGEMBANGAN
DLTA,UTAMA
DMAS,UTAMA
DNAR,PENGEMBANGAN
DNET,UTAMA
DOID,UTAMA
DPNS,PENGEMBANGAN
DSFI,PENGEMBANGAN
DSNG,UTAMA
DSSA,UTAMA
DUTI,PENGEMBANGAN
DVLA,PENGEMBANGAN
DYAN,PENGEMBANGAN
ECII,PENGEMBANGAN
EKAD,PENGEMBANGAN
ELSA,UTAMA
ELTY,PEMANTAUAN KHUSUS
EMDE,PENGEMBANGAN
EMTK,UTAMA
ENRG,UTAMA
EPMT,PENGEMBANGAN
ERAA,UTAMA
ERTX,PENGEMBANGAN
ESSA,UTAMA
ESTI,PENGEMBANGAN
ETWA,PEMANTAUAN KHUSUS
EXCL,UTAMA
FAST,PENGEMBANGAN
FASW,PEMANTAUAN KHUSUS
FISH,PENGEMBANGAN
FMII,PENGEMBANGAN
FORU,PENGEMBANGAN
FPNI,PENGEMBANGAN
GAMA,PEMANTAUAN KHUSUS
GDST,PENGEMBANGAN
GDYR,PENGEMBANGAN
GEMA,PENGEMBANGAN
GEMS,UTAMA
GGRM,UTAMA
GIAA,PEMANTAUAN KHUSUS
GJTL,UTAMA
GLOB,PEMANTAUAN KHUSUS
GMTD,PENGEMBANGAN
GOLD,PENGEMBANGAN
GOLL,PEMANTAUAN KHUSUS
GPRA,PENGEMBANGAN
GSMF,PENGEMBANGAN
GTBO,PENGEMBANGAN
GWSA,UTAMA
GZCO,PENGEMBANGAN
HADE,PEMANTAUAN KHUSUS
HDFA,PENGEMBANGAN
HERO,PENGEMBANGAN
HEXA,UTAMA
HITS,PEMANTAUAN KHUSUS
HMSP,UTAMA
HOME,PEMANTAUAN KHUSUS
HOTL,PEMANTAUAN KHUSUS
HRUM,UTAMA
IATA,PENGEMBANGAN
IBFN,PEMANTAUAN KHUSUS
